,Price
0,9.8
1,9.212
2,9.39624
3,9.866052
4,10.06337304
5,10.3652742312
6,10.157968746576001
7,10.157968746576001
8,9.548490621781442
9,9.453005715563627
10,9.263945601252354
11,9.263945601252354
12,8.708108865177213
13,8.882271042480758
14,9.85932085715364
15,8.873388771438277
16,8.340985445151981
17,7.757116463991342
18,7.601974134711515
19,7.601974134711515
20,7.906053100099975
21,7.906053100099975
22,7.431689914093977
23,7.431689914093977
24,7.654640611516796
25,7.50154779928646
26,7.651578755272189
27,7.192484029955857
28,7.120559189656298
29,7.40538155724255
30,6.961058663807997
31,7.100279837084157
32,7.24228543382584
33,7.459553996840615
34,7.011980757030178
35,7.292459987311386
36,7.5112337869307275
37,7.2107844354534985
38,6.922353058035359
39,7.337694241517481
40,8.071463665669228
41,7.748605119042459
42,7.5936330166616095
43,7.821442007161457
44,7.665013167018229
45,7.205112376997135
46,6.772805634377306
47,7.788726479533902
48,7.477177420352546
49,7.626720968759597
50,7.931789807509981
51,8.40769719596058
52,9.500697831435456
53,9.690711788064165
54,9.690711788064165
55,8.430919255615823
56,8.262300870503507
57,8.262300870503507
58,8.427546887913577
59,8.427546887913577
60,7.416241261363948
61,7.416241261363948
62,7.787053324432145
63,7.4755711914548595
64,7.176548343796665
65,7.607141244424465
66,7.68321265686871
67,7.529548403731336
68,7.529548403731336
69,7.529548403731336
70,6.927184531432829
71,6.996456376747157
72,6.856527249212214
73,7.67931051911768
74,7.141758782779442
75,7.141758782779442
76,6.427582904501499
77,6.6846862206815585
78,6.6846862206815585
79,6.6846862206815585
80,6.283605047440665
81,6.095096896017445
82,6.095096896017445
83,6.216998833937794
84,6.341338810616549
85,6.785232527359708
86,6.785232527359708
87,6.242413925170931
88,6.117565646667512
89,6.117565646667512
90,6.545795241934238
91,6.938542956450292
92,6.5222303790632745
93,5.935229644947579
94,6.053934237846531
95,6.175012922603462
96,6.298513181055531
97,6.676423971918863
98,6.8099524513572405
99,7.08235054941153
