Step,AgentID,Wealth,Position,Order
7,rnd_trader_1,,sell,1
7,saver_3,1048.13,buy,0
7,saver_12,901.3,buy,0
7,saver_8,939.77,buy,0
7,saver_14,1012.9766585599999,sell,0
7,saver_11,955.64,buy,0
7,saver_5,951.1984,buy,0
7,saver_15,943.06,sell,0
7,saver_17,975.99,sell,0
7,follower_2,663.79085346304,buy,1
7,saver_10,944.09,buy,0
7,saver_4,917.39,buy,0
7,rnd_trader_3,,sell,1
7,rnd_trader_5,,buy,1
7,follower_1,708.1336127999999,sell,1
7,follower_5,714.6736127999999,sell,1
7,rnd_trader_2,,buy,1
7,saver_13,931.93,sell,0
7,follower_0,712.9736128,sell,1
7,saver_16,1012.1584000000001,sell,0
7,saver_0,905.0,buy,0
7,saver_6,943.73,buy,0
8,follower_4,720.8036127999999,sell,1
8,saver_2,1047.29,buy,0
8,saver_1,993.90665856,buy,0
8,follower_3,666.6936127999999,sell,1
8,saver_7,1020.4,buy,0
8,rnd_trader_0,,buy,1
8,saver_9,1040.26,buy,0
8,rnd_trader_4,,sell,1
8,rnd_trader_1,,sell,1
8,saver_3,1048.13,buy,0
8,saver_12,901.3,buy,0
8,saver_8,939.77,buy,0
8,saver_14,1012.9766585599999,sell,0
8,saver_11,955.64,buy,0
8,saver_5,951.1984,buy,0
8,saver_15,943.06,sell,0
8,saver_17,975.99,sell,0
8,follower_2,683.5190084950016,sell,1
8,saver_10,944.09,buy,0
8,saver_4,917.39,buy,0
8,rnd_trader_3,,sell,1
8,rnd_trader_5,,sell,1
8,follower_1,718.1336127999999,sell,1
8,follower_5,724.6736127999999,sell,1
8,rnd_trader_2,,sell,1
8,saver_13,931.93,sell,0
8,follower_0,722.9736128,sell,1
8,saver_16,1012.1584000000001,sell,0
8,saver_0,905.0,buy,0
8,saver_6,943.73,buy,0
9,follower_4,742.4482732712345,buy,1
9,saver_2,1047.29,buy,0
9,saver_1,993.90665856,buy,0
9,follower_3,688.3382732712345,buy,1
9,saver_7,1020.4,buy,0
9,rnd_trader_0,,buy,1
9,saver_9,1040.26,buy,0
9,rnd_trader_4,,sell,1
9,rnd_trader_1,,buy,1
9,saver_3,1048.13,buy,0
9,saver_12,901.3,buy,0
9,saver_8,939.77,buy,0
9,saver_14,1012.9766585599999,sell,0
9,saver_11,955.64,buy,0
9,saver_5,951.1984,buy,0
9,saver_15,943.06,sell,0
9,saver_17,975.99,sell,0
9,follower_2,684.7636689662361,sell,1
9,saver_10,944.09,buy,0
9,saver_4,917.39,buy,0
9,rnd_trader_3,,buy,1
9,rnd_trader_5,,sell,1
9,follower_1,739.7782732712345,buy,1
9,follower_5,746.3182732712345,buy,1
9,rnd_trader_2,,sell,1
9,saver_13,931.93,sell,0
9,follower_0,744.6182732712346,buy,1
9,saver_16,1012.1584000000001,sell,0
9,saver_0,905.0,buy,0
9,saver_6,943.73,buy,0
10,follower_4,752.4482732712345,buy,1
10,saver_2,1047.29,buy,0
10,saver_1,993.90665856,buy,0
10,follower_3,698.3382732712345,buy,1
10,saver_7,1020.4,buy,0
10,rnd_trader_0,,buy,1
10,saver_9,1040.26,buy,0
10,rnd_trader_4,,sell,1
10,rnd_trader_1,,sell,1
10,saver_3,1048.13,buy,0
10,saver_12,901.3,buy,0
10,saver_8,939.77,buy,0
10,saver_14,1012.9766585599999,sell,0
10,saver_11,955.64,buy,0
10,saver_5,951.1984,buy,0
10,saver_15,943.06,sell,0
10,saver_17,975.99,sell,0
10,follower_2,703.1687949138509,buy,1
10,saver_10,944.09,buy,0
10,saver_4,917.39,buy,0
10,rnd_trader_3,,buy,1
10,rnd_trader_5,,buy,1
10,follower_1,749.7782732712345,buy,1
10,follower_5,756.3182732712345,buy,1
10,rnd_trader_2,,sell,1
10,saver_13,931.93,sell,0
10,follower_0,754.6182732712346,buy,1
10,saver_16,1012.1584000000001,sell,0
10,saver_0,959.4722344504197,buy,5
10,saver_6,943.73,buy,0
11,follower_4,762.4482732712345,buy,1
11,saver_2,1047.29,buy,0
11,saver_1,993.90665856,buy,0
11,follower_3,708.3382732712345,buy,1
11,saver_7,1020.4,buy,0
11,rnd_trader_0,,buy,1
11,saver_9,1040.26,buy,0
11,rnd_trader_4,,sell,1
11,rnd_trader_1,,buy,1
11,saver_3,1048.13,buy,0
11,saver_12,901.3,buy,0
11,saver_8,939.77,buy,0
11,saver_14,1012.9766585599999,sell,0
11,saver_11,955.64,buy,0
11,saver_5,951.1984,buy,0
11,saver_15,943.06,sell,0
11,saver_17,975.99,sell,0
11,follower_2,703.0616309618441,buy,1
11,saver_10,944.09,buy,0
11,saver_4,917.39,buy,0
11,rnd_trader_3,,sell,1
11,rnd_trader_5,,sell,1
11,follower_1,759.7782732712345,buy,1
11,follower_5,766.3182732712345,buy,1
11,rnd_trader_2,,buy,1
11,saver_13,931.93,sell,0
11,follower_0,764.6182732712346,buy,1
11,saver_16,1012.1584000000001,sell,0
11,saver_0,959.4722344504197,buy,0
11,saver_6,943.73,buy,0
12,follower_4,772.4482732712345,buy,1
12,saver_2,1047.29,buy,0
12,saver_1,993.90665856,buy,0
12,follower_3,718.3382732712345,buy,1
12,saver_7,1020.4,buy,0
12,rnd_trader_0,,buy,1
12,saver_9,1040.26,buy,0
12,rnd_trader_4,,sell,1
12,rnd_trader_1,,sell,1
12,saver_3,1048.13,buy,0
12,saver_12,901.3,buy,0
12,saver_8,939.77,buy,0
12,saver_14,1012.9766585599999,sell,0
12,saver_11,955.64,buy,0
12,saver_5,951.1984,buy,0
12,saver_15,943.06,sell,0
12,saver_17,975.99,sell,0
12,follower_2,713.0616309618441,buy,1
12,saver_10,944.09,buy,0
12,saver_4,917.39,buy,0
12,rnd_trader_3,,sell,1
12,rnd_trader_5,,sell,1
12,follower_1,769.7782732712345,buy,1
12,follower_5,776.3182732712345,buy,1
12,rnd_trader_2,,buy,1
12,saver_13,931.93,sell,0
12,follower_0,774.6182732712346,buy,1
12,saver_16,1012.1584000000001,sell,0
12,saver_0,959.4722344504197,buy,0
12,saver_6,943.73,buy,0
13,follower_4,782.4482732712345,buy,1
13,saver_2,1047.29,buy,0
13,saver_1,993.90665856,buy,0
13,follower_3,728.3382732712345,buy,1
13,saver_7,1020.4,buy,0
13,rnd_trader_0,,sell,1
13,saver_9,1040.26,buy,0
13,rnd_trader_4,,sell,1
13,rnd_trader_1,,sell,1
13,saver_3,1048.13,buy,0
13,saver_12,901.3,buy,0
13,saver_8,939.77,buy,0
13,saver_14,1012.9766585599999,sell,0
13,saver_11,955.64,buy,0
13,saver_5,951.1984,buy,0
13,saver_15,943.06,sell,0
13,saver_17,1020.2793122965384,sell,5
13,follower_2,723.0616309618441,buy,1
13,saver_10,944.09,buy,0
13,saver_4,917.39,buy,0
13,rnd_trader_3,,sell,1
13,rnd_trader_5,,sell,1
13,follower_1,779.7782732712345,buy,1
13,follower_5,786.3182732712345,buy,1
13,rnd_trader_2,,sell,1
13,saver_13,931.93,sell,0
13,follower_0,784.6182732712346,buy,1
13,saver_16,1012.1584000000001,sell,0
13,saver_0,959.4722344504197,buy,0
13,saver_6,943.73,buy,0
14,follower_4,803.0333039348922,sell,1
14,saver_2,1047.29,buy,0
14,saver_1,993.90665856,buy,0
14,follower_3,748.9233039348921,sell,1
14,saver_7,1020.4,buy,0
14,rnd_trader_0,,sell,1
14,saver_9,1040.26,buy,0
14,rnd_trader_4,,buy,1
14,rnd_trader_1,,buy,1
14,saver_3,1048.13,buy,0
14,saver_12,901.3,buy,0
14,saver_8,939.77,buy,0
14,saver_14,1012.9766585599999,sell,0
14,saver_11,955.64,buy,0
14,saver_5,951.1984,buy,0
14,saver_15,943.06,sell,0
14,saver_17,1020.2793122965384,sell,0
14,follower_2,743.6466616255018,sell,1
14,saver_10,944.09,buy,0
14,saver_4,917.39,buy,0
14,rnd_trader_3,,sell,1
14,rnd_trader_5,,buy,1
14,follower_1,800.3633039348922,sell,1
14,follower_5,806.9033039348922,sell,1
14,rnd_trader_2,,buy,1
14,saver_13,931.93,sell,0
14,follower_0,805.2033039348922,sell,1
14,saver_16,1012.1584000000001,sell,0
14,saver_0,959.4722344504197,buy,0
14,saver_6,943.73,buy,0
15,follower_4,802.8716744977808,buy,1
15,saver_2,1047.29,buy,0
15,saver_1,993.90665856,buy,0
15,follower_3,748.7616744977807,sell,1
15,saver_7,1020.4,buy,0
15,rnd_trader_0,,buy,1
15,saver_9,1089.451852814443,buy,5
15,rnd_trader_4,,buy,1
15,rnd_trader_1,,buy,1
15,saver_3,1048.13,buy,0
15,saver_12,901.3,buy,0
15,saver_8,939.77,buy,0
15,saver_14,1012.9766585599999,sell,0
15,saver_11,955.64,buy,0
15,saver_5,951.1984,buy,0
15,saver_15,943.06,sell,0
15,saver_17,1020.2793122965384,sell,0
15,follower_2,743.4850321883904,buy,1
15,saver_10,944.09,buy,0
15,saver_4,966.581852814443,buy,5
15,rnd_trader_3,,buy,1
15,rnd_trader_5,,sell,1
15,follower_1,800.2016744977808,sell,1
15,follower_5,806.7416744977808,buy,1
15,rnd_trader_2,,sell,1
15,saver_13,981.1218528144428,sell,5
15,follower_0,805.0416744977808,buy,1
15,saver_16,1012.1584000000001,sell,0
15,saver_0,959.4722344504197,buy,0
15,saver_6,943.73,buy,0
16,follower_4,812.8716744977808,buy,1
16,saver_2,1047.29,buy,0
16,saver_1,993.90665856,buy,0
16,follower_3,768.0087572855521,buy,1
16,saver_7,1020.4,buy,0
16,rnd_trader_0,,buy,1
16,saver_9,1089.451852814443,buy,0
16,rnd_trader_4,,buy,1
16,rnd_trader_1,,sell,1
16,saver_3,1048.13,buy,0
16,saver_12,901.3,buy,0
16,saver_8,939.77,buy,0
16,saver_14,1012.9766585599999,sell,0
16,saver_11,955.64,buy,0
16,saver_5,951.1984,buy,0
16,saver_15,943.06,sell,0
16,saver_17,1020.2793122965384,sell,0
16,follower_2,753.4850321883904,buy,1
16,saver_10,944.09,buy,0
16,saver_4,966.581852814443,buy,0
16,rnd_trader_3,,sell,1
16,rnd_trader_5,,buy,1
16,follower_1,819.4487572855521,buy,1
16,follower_5,816.7416744977808,buy,1
16,rnd_trader_2,,buy,1
16,saver_13,981.1218528144428,sell,0
16,follower_0,815.0416744977808,buy,1
16,saver_16,1012.1584000000001,sell,0
16,saver_0,959.4722344504197,buy,0
16,saver_6,943.73,buy,0
17,follower_4,834.8339446711483,sell,1
17,saver_2,1047.29,buy,0
17,saver_1,993.90665856,buy,0
17,follower_3,766.0464871121845,buy,1
17,saver_7,1020.4,buy,0
17,rnd_trader_0,,sell,1
17,saver_9,1089.451852814443,buy,0
17,rnd_trader_4,,buy,1
17,rnd_trader_1,,buy,1
17,saver_3,1048.13,buy,0
17,saver_12,901.3,buy,0
17,saver_8,939.77,buy,0
17,saver_14,1012.9766585599999,sell,0
17,saver_11,955.64,buy,0
17,saver_5,951.1984,buy,0
17,saver_15,943.06,sell,0
17,saver_17,1020.2793122965384,sell,0
17,follower_2,775.4473023617579,sell,1
17,saver_10,944.09,buy,0
17,saver_4,966.581852814443,buy,0
17,rnd_trader_3,,buy,1
17,rnd_trader_5,,buy,1
17,follower_1,817.4864871121846,buy,1
17,follower_5,838.7039446711483,sell,1
17,rnd_trader_2,,buy,1
17,saver_13,981.1218528144428,sell,0
17,follower_0,837.0039446711484,sell,1
17,saver_16,1012.1584000000001,sell,0
17,saver_0,959.4722344504197,buy,0
17,saver_6,943.73,buy,0
18,follower_4,852.9556879685362,buy,1
18,saver_2,1047.29,buy,0
18,saver_1,993.90665856,buy,0
18,follower_3,776.0464871121845,buy,1
18,saver_7,1020.4,buy,0
18,rnd_trader_0,,sell,1
18,saver_9,1089.451852814443,buy,0
18,rnd_trader_4,,buy,1
18,rnd_trader_1,,sell,1
18,saver_3,1048.13,buy,0
18,saver_12,901.3,buy,0
18,saver_8,939.77,buy,0
18,saver_14,1012.9766585599999,sell,0
18,saver_11,955.64,buy,0
18,saver_5,951.1984,buy,0
18,saver_15,943.06,sell,0
18,saver_17,1020.2793122965384,sell,0
18,follower_2,793.5690456591458,buy,1
18,saver_10,944.09,buy,0
18,saver_4,966.581852814443,buy,0
18,rnd_trader_3,,buy,1
18,rnd_trader_5,,sell,1
18,follower_1,827.4864871121846,buy,1
