Step,AgentID,Wealth,Position,Order
6,rnd_trader_4,309.98536467199995,buy,1
7,saver_3,1048.13,buy,0
7,saver_12,901.3,buy,0
7,saver_8,939.77,buy,0
7,saver_14,1014.09319136,sell,0
7,follower_2,664.98165446912,sell,1
7,saver_11,955.64,buy,0
7,saver_5,952.3816,buy,0
7,rnd_trader_0,350.61565741311995,sell,1
7,follower_4,710.7415936,sell,1
7,saver_6,943.73,buy,0
7,rnd_trader_3,317.3956574131199,sell,1
7,saver_2,1047.29,buy,0
7,follower_5,702.8399744691201,buy,1
7,saver_7,1020.4,buy,0
7,saver_17,975.99,sell,0
7,saver_16,1013.3416000000002,sell,0
7,rnd_trader_1,297.91565741311996,sell,1
7,saver_4,917.39,buy,0
7,saver_10,944.09,buy,0
7,follower_1,696.2999744691201,buy,1
7,rnd_trader_5,312.86565741311995,sell,1
7,saver_15,943.06,sell,0
7,saver_0,905.0,buy,0
7,saver_1,995.02319136,buy,0
7,rnd_trader_2,312.47565741311996,sell,1
7,follower_0,712.9115936000001,sell,1
7,saver_9,1040.26,buy,0
7,saver_13,931.93,sell,0
7,follower_3,656.6315936,sell,1
7,rnd_trader_4,300.62565741311994,buy,1
8,saver_3,1048.13,buy,0
8,saver_12,901.3,buy,0
8,saver_8,939.77,buy,0
8,saver_14,1014.09319136,sell,0
8,follower_2,674.98165446912,sell,1
8,saver_11,955.64,buy,0
8,saver_5,952.3816,buy,0
8,rnd_trader_0,341.8775325897727,buy,1
8,follower_4,720.7415936,sell,1
8,saver_6,943.73,buy,0
8,rnd_trader_3,308.6575325897727,buy,1
8,saver_2,1047.29,buy,0
8,follower_5,722.5780992924673,sell,1
8,saver_7,1020.4,buy,0
8,saver_17,975.99,sell,0
8,saver_16,1013.3416000000002,sell,0
8,rnd_trader_1,289.17753258977274,sell,1
8,saver_4,917.39,buy,0
8,saver_10,944.09,buy,0
8,follower_1,716.0380992924673,sell,1
8,rnd_trader_5,304.1275325897727,sell,1
8,saver_15,943.06,sell,0
8,saver_0,905.0,buy,0
8,saver_1,995.02319136,buy,0
8,rnd_trader_2,303.73753258977274,sell,1
8,follower_0,722.9115936000001,sell,1
8,saver_9,1040.26,buy,0
8,saver_13,931.93,sell,0
8,follower_3,666.6315936,sell,1
8,rnd_trader_4,291.8875325897727,sell,1
9,saver_3,1048.13,buy,0
9,saver_12,901.3,buy,0
9,saver_8,939.77,buy,0
9,saver_14,1014.09319136,sell,0
9,follower_2,684.98165446912,sell,1
9,saver_11,955.64,buy,0
9,saver_5,952.3816,buy,0
9,rnd_trader_0,333.9184577522933,buy,1
9,follower_4,730.7415936,sell,1
9,saver_6,943.73,buy,0
9,rnd_trader_3,300.6984577522933,buy,1
9,saver_2,1047.29,buy,0
9,follower_5,723.6190244549879,buy,1
9,saver_7,1020.4,buy,0
9,saver_17,975.99,sell,0
9,saver_16,1013.3416000000002,sell,0
9,rnd_trader_1,281.2184577522933,sell,1
9,saver_4,917.39,buy,0
9,saver_10,944.09,buy,0
9,follower_1,717.0790244549879,buy,1
9,rnd_trader_5,296.1684577522933,buy,1
9,saver_15,943.06,sell,0
9,saver_0,905.0,buy,0
9,saver_1,995.02319136,buy,0
9,rnd_trader_2,295.7784577522933,buy,1
9,follower_0,732.9115936000001,sell,1
9,saver_9,1040.26,buy,0
9,saver_13,931.93,sell,0
9,follower_3,676.6315936,sell,1
9,rnd_trader_4,283.9284577522933,sell,1
10,saver_3,1048.13,buy,0
10,saver_12,901.3,buy,0
10,saver_8,939.77,buy,0
10,saver_14,1014.09319136,sell,0
10,follower_2,706.7419941494006,buy,1
10,saver_11,955.64,buy,0
10,saver_5,952.3816,buy,0
10,rnd_trader_0,325.9593829148139,buy,1
10,follower_4,751.3825187625206,buy,1
10,saver_6,943.73,buy,0
10,rnd_trader_3,292.73938291481386,sell,1
10,saver_2,1047.29,buy,0
10,follower_5,742.5780992924673,sell,1
10,saver_7,1020.4,buy,0
10,saver_17,975.99,sell,0
10,saver_16,1013.3416000000002,sell,0
10,rnd_trader_1,273.2593829148139,sell,1
10,saver_4,917.39,buy,0
10,saver_10,944.09,buy,0
10,follower_1,736.0380992924673,sell,1
10,rnd_trader_5,288.2093829148139,sell,1
10,saver_15,943.06,sell,0
10,saver_0,960.2046258126029,buy,5
10,saver_1,995.02319136,buy,0
10,rnd_trader_2,287.8193829148139,sell,1
10,follower_0,753.5525187625207,buy,1
10,saver_9,1040.26,buy,0
10,saver_13,931.93,sell,0
10,follower_3,697.2725187625206,buy,1
10,rnd_trader_4,275.9693829148139,buy,1
11,saver_3,1048.13,buy,0
11,saver_12,901.3,buy,0
11,saver_8,939.77,buy,0
11,saver_14,1014.09319136,sell,0
11,follower_2,707.3349655700472,buy,1
11,saver_11,955.64,buy,0
11,saver_5,952.3816,buy,0
11,rnd_trader_0,317.5523543354605,sell,1
11,follower_4,751.9754901831672,buy,1
11,saver_6,943.73,buy,0
11,rnd_trader_3,284.3323543354605,buy,1
11,saver_2,1047.29,buy,0
11,follower_5,743.1710707131139,sell,1
11,saver_7,1020.4,buy,0
11,saver_17,975.99,sell,0
11,saver_16,1013.3416000000002,sell,0
11,rnd_trader_1,264.8523543354605,buy,1
11,saver_4,917.39,buy,0
11,saver_10,944.09,buy,0
11,follower_1,736.6310707131139,buy,1
