,Price
0,9.8
1,9.604000000000001
2,9.796080000000002
3,11.069570400000002
4,10.848178992000001
5,10.52273362224
6,10.733188294684801
7,11.162515826472193
8,10.49276487688386
9,10.807547823190376
10,10.59139686672657
11,11.015052741395632
12,11.455654851051458
13,11.913881045093516
14,12.986130339151932
15,12.726407732368894
16,12.471879577721516
17,11.09997282417215
18,11.321972280655594
19,12.001290617494929
20,12.961393866894523
21,12.442938112218743
22,14.184949447929366
23,13.333852481053604
24,14.800576253969501
25,15.39259930412828
26,15.084747318045714
27,14.179662478962971
28,15.739425351648897
29,17.313367886813786
30,15.928298455868683
31,15.291166517633936
32,14.067873196223221
33,15.333981783883312
34,16.560700326593977
35,16.891914333125857
36,16.38515690313208
37,17.040563179257365
38,16.699751915672216
39,17.367741992299106
40,16.67303231260714
41,18.006874897615713
42,18.006874897615713
43,16.3862561568303
44,16.058531033693694
45,16.70087227504144
46,15.698819938538954
47,16.79773733423668
48,16.125827840867213
49,14.835761613597835
50,15.132476845869792
51,15.132476845869792
52,14.375853003576303
53,14.950887123719355
54,15.847940351142515
55,13.787708105493987
56,13.787708105493987
57,14.890724753933506
58,13.699466773618825
59,13.425477438146448
60,13.15696788938352
61,13.42010724717119
62,14.896319044360022
63,15.790098187021623
64,15.474296223281192
65,15.783782147746816
66,15.310268683314412
67,15.310268683314412
68,16.535090177979566
69,15.873686570860382
70,15.556212839443175
71,15.400650711048742
72,14.476611668385818
73,15.634740601856684
74,14.227613947689584
75,14.512166226643375
76,13.93167957757764
77,13.09577880292298
78,14.40535668321528
79,18.150749420851252
80,17.424719444017203
81,18.295955416218064
82,17.19819809124498
83,17.886126014894778
84,19.31701609608636
85,19.89652657896895
86,20.29445711054833
87,19.07678968391543
88,17.550646509202195
89,16.848620648834107
90,17.35407926829913
91,18.39532402439708
92,18.39532402439708
93,16.00393190122546
94,16.32401053924997
95,15.997530328464968
96,15.997530328464968
97,15.35762911532637
98,17.200544609165533
99,17.544555501348842
100,18.421783276416285
101,18.790218941944612
102,18.41441456310572
103,16.572973106795146
104,16.738702837863098
105,16.403928781105837
106,15.747771629861603
107,16.377682495056067
108,17.687897094660553
109,19.633565775073215
110,18.848223144070285
111,16.963400829663257
112,16.45449880477336
113,16.783588780868826
114,17.454932332103578
115,16.756735038819436
116,17.7621391411486
117,19.53835305526346
118,19.53835305526346
119,20.906037769131903
120,20.069796258366626
121,20.069796258366626
122,20.87258810870129
123,20.663862227614278
124,20.25058498306199
125,19.440561583739512
126,18.274127888715142
127,18.639610446489446
128,18.453214342024552
129,18.08415005518406
130,18.445833056287743
131,16.047874758970337
132,16.047874758970337
133,14.443087283073304
134,13.865363791750372
135,12.756134688410341
136,14.031748157251375
137,14.031748157251375
138,14.172065638823888
139,14.172065638823888
140,13.605183013270933
141,13.060975692740096
142,14.497683018941506
143,13.917775698183846
144,13.361064670256491
145,13.628285963661622
146,12.810588805841924
147,12.938694693900343
148,12.938694693900343
149,11.903599118388316
150,11.784563127204432
151,11.548871864660343
152,11.77984930195355
153,13.193431218187976
154,12.137956720732939
155,12.866234123976916
156,12.35158475901784
157,13.463227387329445
158,14.271021030569212
159,15.127282292403365
